ID_REF	GSM1684095	GSM1684096	GSM1684097	GSM1684098	GSM1684099	GSM1684100	GSM1684101	GSM1684102	GSM1684103	GSM1684104
ILMN_1800381	99.51526	110.5207	125.4984	100.6818	115.9989	110.8546	100.0696	120.6807	105.9241	109.0062
ILMN_1800385	97.14935	112.3198	107.2013	102.0605	120.6409	95.79005	93.08005	104.5564	111.028	99.90793
ILMN_1800387	109.8494	124.5634	110.832	116.5427	116.9221	122.0412	123.9336	111.9657	116.3366	120.0702
ILMN_1800390	805.2477	667.2982	678.9424	612.0956	694.7521	550.3225	704.0975	637.0189	590.8404	578.6649
ILMN_1800396	96.93811	108.5748	97.43893	101.6155	117.3181	104.8571	106.9919	106.6023	96.48656	105.0056
ILMN_1800408	110.064	108.5086	102.7766	115.3532	101.2991	103.3992	101.4197	113.3448	89.64644	100.241
ILMN_1800412	103.5274	106.2077	115.8245	124.9339	133.3819	112.2868	117.6257	114.628	150.3935	142.347
ILMN_1800414	111.2981	109.3578	124.5461	132.3492	113.4609	116.4567	116.9246	111.0931	109.4148	107.1549
ILMN_1800416	130.741	118.5411	114.4822	110.0269	106.3121	117.8486	126.0528	142.2833	130.3915	123.6576
ILMN_1800420	110.9387	102.4925	133.9289	139.1003	162.0406	141.0668	129.026	117.858	116.6116	118.2255
ILMN_1800421	84.36217	85.27781	77.10062	82.5667	83.08205	89.23248	80.86617	85.78071	91.0961	87.18398
ILMN_1800425	223.1377	155.1895	238.208	239.5619	421.9295	239.2938	199.0558	166.9001	222.3194	181.2704
ILMN_1800430	86.58424	81.6434	94.90221	94.8299	87.91402	96.38917	78.65511	84.7993	86.59576	101.4838
ILMN_1800436	109.9215	110.5187	115.8092	104.5713	105.4566	115.9185	118.6215	111.0339	110.5801	112.3178
ILMN_1800445	122.6871	141.7139	125.4738	121.4973	124.2029	121.0483	113.1881	115.4737	117.3887	100.0981
ILMN_1800447	304.1524	295.4275	622.6814	577.6943	469.2903	485.7968	514.5765	544.6592	661.4714	473.1629
ILMN_1800451	694.7521	813.4889	714.4884	1010.857	823.0758	1047.057	500.214	601.9054	840.9526	968.8064
ILMN_1800461	891.0811	1149.686	875.6337	947.6359	1132.257	1148.672	1110.581	855.7818	1290.493	1092.132
ILMN_1800465	109.4736	112.9589	113.3317	110.7419	106.6952	135.7225	122.2953	112.3531	116.5967	104.4586
ILMN_1800468	89.6444	89.06518	85.39394	81.81781	84.16721	88.53254	91.18777	110.6937	86.0981	90.27522
ILMN_1800476	110.4818	105.7007	102.8925	99.04095	100.4619	100.8029	106.9943	95.05095	111.1936	110.1899
ILMN_1800488	92.94193	110.7862	96.47464	97.13673	106.9649	101.6675	95.62064	108.1006	127.4448	89.41124
ILMN_1800512	10420.06	2616.785	4986.556	824.2762	736.0392	380.9774	3240.369	1237.775	4832.434	654.5074
ILMN_1800517	98.01946	96.05223	86.38263	87.79734	96.42217	88.48251	93.78481	91.67678	93.76828	94.05116
ILMN_1800520	107.3525	97.43939	109.9418	86.21244	104.1498	97.09778	99.25122	98.35873	94.10724	97.88226
ILMN_1800530	100.1998	106.2695	102.9042	98.33091	94.23029	110.7364	88.42734	107.1919	108.7805	102.6625
ILMN_1800540	534.3351	501.8697	449.1396	410.5311	302.2607	484.183	467.3618	763.0233	472.7946	438.8899
ILMN_1800543	1023.967	931.069	688.1479	924.4144	698.3065	701.2778	826.575	825.4762	884.3984	849.2244
ILMN_1800555	96.2826	106.4223	103.2658	99.07851	120.005	91.17476	98.08181	103.4022	103.8592	114.2669
ILMN_1800562	106.7505	93.73251	103.9185	90.78931	90.86554	116.6388	84.84138	104.7552	97.20273	115.7608
ILMN_1800573	246.1553	311.4517	424.2091	352.2224	422.8	376.5735	477.285	333.6862	353.8384	301.9879
ILMN_1800575	135.9101	99.03812	105.8248	113.3909	121.6376	121.6858	123.8957	116.7371	103.4178	87.15413
ILMN_1800588	115.0156	97.2564	87.33807	98.45503	100.5701	105.6566	92.21657	99.35133	105.0206	95.44221
ILMN_1800590	155.3894	144.8932	169.0396	152.6776	178.0361	149.0813	132.0772	147.7668	141.6007	143.5083
ILMN_1800595	100.6988	87.64391	98.78233	101.372	98.21417	93.17407	110.2626	80.08791	91.14704	86.50521
ILMN_1800602	753.052	684.1857	418.1409	532.8485	462.572	358.4567	442.2349	574.0496	267.7559	555.0997
ILMN_1800611	121.1079	105.5171	140.0869	139.0125	136.0757	130.1486	109.6578	125.5899	117.4383	124.179
ILMN_1800612	597.0384	612.2704	708.8981	723.4346	509.0446	661.4714	964.0152	844.7676	513.8418	600.186
ILMN_1800619	127.872	105.6691	144.9133	122.8794	174.5237	109.9181	137.8522	106.4533	118.4491	117.1574
ILMN_1800626	170.5807	132.9907	162.3612	210.8646	134.5354	151.1705	137.2061	158.6518	181.4802	179.6585
ILMN_1800632	202.0039	201.5099	142.4737	157.4648	145.9862	145.4951	167.326	158.5541	220.3196	222.9736
ILMN_1800634	396.4897	166.4311	493.0827	217.3751	988.4728	466.4797	481.2274	217.0965	389.0718	172.8372
ILMN_1800638	511.7808	770.2794	539.4656	887.0681	416.0453	702.4534	448.7814	505.0994	584.7648	742.939
ILMN_1800642	88.7645	80.85503	85.65008	86.06388	92.07647	85.78967	81.72933	90.82706	96.68529	105.9913
ILMN_1800654	95.0373	122.8052	95.94937	90.97746	94.91496	110.5424	119.4763	112.5161	112.5795	105.5889
ILMN_1800659	1287.693	1102.619	1045.072	958.1387	1934.383	2556.385	1247.319	1118.342	711.2631	761.8457
ILMN_1800670	112.3286	118.4136	100.7123	110.1759	100.7851	96.63309	104.561	106.7492	96.38282	83.90456
ILMN_1800689	140.767	111.2039	128.8723	98.0487	124.4307	107.5473	94.59326	112.3037	118.506	114.9449
ILMN_1800695	114.9706	118.9272	96.48656	97.46242	105.5303	108.6703	148.8186	105.703	136.8355	133.6086
ILMN_1800697	126.6891	108.7263	110.009	140.7957	131.4674	129.6902	118.8919	119.8149	142.4072	121.5918
ILMN_1800700	93.15257	106.8205	89.14011	94.0734	97.9835	106.8396	93.49907	87.47084	101.1527	112.5547
ILMN_1800701	107.601	99.04095	93.75213	103.4857	96.68529	114.6875	117.467	98.24398	119.3032	99.49897
ILMN_1800705	86.26177	98.23389	95.43163	92.27536	91.80179	95.58398	88.33221	86.35735	102.9457	94.17854
ILMN_1800711	87.85349	90.43703	82.71729	94.48654	94.36935	92.25826	105.3336	80.34293	87.46844	77.53211
ILMN_1800713	89.72195	93.76051	82.43067	95.38683	84.76632	96.99096	88.98377	102.298	91.71228	93.44209
ILMN_1800716	91.21906	89.23842	93.03532	96.87289	102.26	93.34754	100.981	98.77164	96.72323	109.6128
ILMN_1800721	304.7323	245.0028	216.2519	160.7287	177.0184	151.6666	233.3145	200.2737	209.6192	155.2274
ILMN_1800731	155.5157	129.0115	132.4212	124.6103	124.6307	125.01	122.6871	121.8984	111.3728	119.2871
ILMN_1800733	216.0388	249.4454	358.6615	276.1981	392.0389	288.9076	377.1974	270.2862	437.1818	302.6312
ILMN_1800739	4341.979	4757.361	3717.486	3800.598	3131.791	3138.065	3337.736	2659.708	3776.664	3267.549
ILMN_1800750	163.0513	135.145	160.7145	122.9299	140.5143	117.2466	149.8886	129.2349	201.3427	173.8283
ILMN_1800776	119.0559	109.0131	100.5196	109.5818	96.16939	123.8709	106.9559	86.15266	99.13598	101.0254
ILMN_1800786	118.6626	106.2305	97.50293	95.45079	113.051	122.6613	116.3158	113.4877	123.5417	132.574
