ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1703435	9.00e-01	5.05e-01	-0.6885973	-6.501932	-0.04856442	ZNF658	zinc finger protein 658
ILMN_1675819	9.00e-01	5.05e-01	-0.6885635	-6.501956	-0.04582111	FAM101A	family with sequence similarity 101 member A
ILMN_1789274	9.00e-01	5.05e-01	-0.6884498	-6.502037	-0.05485801	FBXO17	F-box protein 17
ILMN_3242174	9.00e-01	5.05e-01	-0.6884385	-6.502045	-0.0532454		
ILMN_1694069	9.00e-01	5.05e-01	0.6884292	-6.502051	0.06051511		
ILMN_2167397	9.00e-01	5.05e-01	0.6883975	-6.502074	0.05215521	TBC1D3C	TBC1 domain family member 3C
ILMN_1681189	9.00e-01	5.05e-01	0.6883823	-6.502085	0.06058491		
ILMN_1892666	9.00e-01	5.05e-01	-0.6883775	-6.502088	-0.06660491		
ILMN_1746362	9.00e-01	5.05e-01	-0.6883715	-6.502092	-0.03721268		
ILMN_2398432	9.00e-01	5.05e-01	0.6883641	-6.502098	0.12240924		
ILMN_1894053	9.00e-01	5.05e-01	0.688358	-6.502102	0.04561691		
ILMN_1763267	9.00e-01	5.05e-01	-0.6883494	-6.502108	-0.03715776	ZFYVE28	zinc finger FYVE-type containing 28
ILMN_1696806	9.00e-01	5.05e-01	0.6883453	-6.502111	0.06694463	CTNND1	catenin delta 1
ILMN_3297013	9.00e-01	5.05e-01	0.6882204	-6.5022	0.05591161	PACRGL	PARK2 coregulated like
ILMN_2236714	9.00e-01	5.05e-01	0.688192	-6.50222	0.05814986	CSTF1	cleavage stimulation factor subunit 1
ILMN_1782782	9.00e-01	5.05e-01	-0.6880691	-6.502307	-0.039325		
ILMN_2047885	9.00e-01	5.05e-01	-0.6880575	-6.502315	-0.2509878	PCDHB9	protocadherin beta 9
ILMN_1878326	9.00e-01	5.05e-01	0.688036	-6.50233	0.05718586		
ILMN_1695663	9.00e-01	5.05e-01	0.6880327	-6.502333	0.04782791		
ILMN_1737698	9.00e-01	5.05e-01	0.6880292	-6.502335	0.04047711	RNF126P1	ring finger protein 126 pseudogene 1
ILMN_1712836	9.00e-01	5.05e-01	0.6880058	-6.502352	0.04856651	VWA7	von Willebrand factor A domain containing 7
ILMN_1778098	9.00e-01	5.05e-01	0.6879704	-6.502377	0.05622384		
ILMN_1663791	9.00e-01	5.05e-01	0.6879349	-6.502402	0.04087588		
ILMN_1666325	9.00e-01	5.05e-01	0.6879342	-6.502402	0.06931044	ALG10B	ALG10B, alpha-1,2-glucosyltransferase
ILMN_1687018	9.00e-01	5.05e-01	-0.6878499	-6.502462	-0.03562742	GAS7	growth arrest specific 7
ILMN_3259096	9.00e-01	5.05e-01	0.6877565	-6.502528	0.0549967		
ILMN_2190624	9.00e-01	5.05e-01	0.687702	-6.502567	0.04895159	CDH6	cadherin 6
ILMN_1677954	9.00e-01	5.05e-01	-0.6876977	-6.50257	-0.04775341	OR4K17	olfactory receptor family 4 subfamily K member 17
ILMN_1687213	9.00e-01	5.06e-01	-0.6875899	-6.502646	-0.11987624	FAM167A	family with sequence similarity 167 member A
ILMN_1712563	9.00e-01	5.06e-01	-0.6875503	-6.502674	-0.05029396	PSAT1	phosphoserine aminotransferase 1
ILMN_1729963	9.00e-01	5.06e-01	0.6875069	-6.502705	0.03925494	KCNH5	potassium voltage-gated channel subfamily H member 5
ILMN_3201609	9.00e-01	5.06e-01	-0.6875049	-6.502706	-0.05865958	LOC100132781	cyclin Y like 1 pseudogene
ILMN_3238797	9.00e-01	5.06e-01	0.6874566	-6.502741	0.04894847	FAM72A	family with sequence similarity 72 member A
ILMN_1682330	9.00e-01	5.06e-01	0.6874442	-6.502749	0.05127095	OR13F1	olfactory receptor family 13 subfamily F member 1
ILMN_1834252	9.00e-01	5.06e-01	-0.6874344	-6.502756	-0.05907138	LINC00583	long intergenic non-protein coding RNA 583
ILMN_1688106	9.00e-01	5.06e-01	0.6873714	-6.502801	0.04890816		
ILMN_1786118	9.00e-01	5.06e-01	0.6873613	-6.502808	0.04224318	FXYD7	FXYD domain containing ion transport regulator 7
ILMN_1760513	9.00e-01	5.06e-01	0.6873253	-6.502834	0.10409497	DYDC2	DPY30 domain containing 2
ILMN_2371397	9.00e-01	5.06e-01	0.6873109	-6.502844	0.04619512	SLC25A45	solute carrier family 25 member 45
